GEO,Year,region,decile,Type,value,UOM
Iran,94,Urban,3,Total Expenditure per capita,3834861.063,Rials per month
Iran,94,Urban,10,Total Expenditure per capita,23854836.73,Rials per month
Iran,94,Urban,8,Total Expenditure per capita,9049850.94,Rials per month
Iran,94,Rural,10,Total Expenditure per capita,20608253.83,Rials per month
Iran,94,Rural,8,Total Expenditure per capita,8984268.146,Rials per month
Iran,94,Rural,6,Total Expenditure per capita,6269013.818,Rials per month
Iran,94,Rural,4,Total Expenditure per capita,4563937.221,Rials per month
Iran,94,Rural,2,Total Expenditure per capita,3031852.022,Rials per month
Iran,94,Rural,5,Total Expenditure per capita,5362277.065,Rials per month
Iran,94,Rural,3,Total Expenditure per capita,3812678.113,Rials per month
Iran,94,Rural,1,Total Expenditure per capita,1869205.032,Rials per month
Iran,94,Rural,9,Total Expenditure per capita,11736427.83,Rials per month
Iran,94,Rural,7,Total Expenditure per capita,7418442.228,Rials per month
Iran,95,Total,2,Total Expenditure per capita,3253163.084,Rials per month
Iran,95,Total,1,Total Expenditure per capita,2073678.291,Rials per month
Iran,95,Total,5,Total Expenditure per capita,5771167.174,Rials per month
Iran,95,Total,3,Total Expenditure per capita,4088622.551,Rials per month
Iran,95,Total,4,Total Expenditure per capita,4918993.389,Rials per month
Iran,95,Total,10,Total Expenditure per capita,25690129.49,Rials per month
Iran,95,Total,6,Total Expenditure per capita,6771654.55,Rials per month
Iran,95,Total,9,Total Expenditure per capita,12962282.67,Rials per month
Iran,95,Total,8,Total Expenditure per capita,9864568.321,Rials per month
Iran,95,Total,7,Total Expenditure per capita,8061592.555,Rials per month
Iran,95,Urban,2,Total Expenditure per capita,3277469.825,Rials per month
Iran,95,Urban,1,Total Expenditure per capita,2192815.833,Rials per month
Iran,95,Urban,5,Total Expenditure per capita,5772929.62,Rials per month
Iran,95,Urban,3,Total Expenditure per capita,4101891.061,Rials per month
Iran,95,Urban,4,Total Expenditure per capita,4933030.382,Rials per month
Iran,95,Urban,10,Total Expenditure per capita,25887022.31,Rials per month
Iran,95,Urban,6,Total Expenditure per capita,6772142.455,Rials per month
Iran,95,Urban,9,Total Expenditure per capita,12972134,Rials per month
Iran,95,Urban,8,Total Expenditure per capita,9865852.099,Rials per month
Iran,95,Urban,7,Total Expenditure per capita,8068667.314,Rials per month
Iran,95,Rural,1,Total Expenditure per capita,2007052.533,Rials per month
Iran,95,Rural,3,Total Expenditure per capita,4066042.181,Rials per month
Iran,95,Rural,5,Total Expenditure per capita,5765591.682,Rials per month
Iran,95,Rural,2,Total Expenditure per capita,3225664.044,Rials per month
Iran,95,Rural,6,Total Expenditure per capita,6769884.795,Rials per month
Iran,95,Rural,8,Total Expenditure per capita,9856788.073,Rials per month
Iran,95,Rural,9,Total Expenditure per capita,12873215.74,Rials per month
Iran,95,Rural,4,Total Expenditure per capita,4887618.953,Rials per month
Iran,95,Rural,7,Total Expenditure per capita,8024284.863,Rials per month
Iran,95,Rural,10,Total Expenditure per capita,22382850.05,Rials per month
Iran,96,Total,9,Total Expenditure per capita,15372362.35,Rials per month
Iran,96,Total,3,Total Expenditure per capita,4657191.698,Rials per month
Iran,96,Total,6,Total Expenditure per capita,7887982.031,Rials per month
Iran,96,Total,8,Total Expenditure per capita,11566766.32,Rials per month
Iran,96,Total,5,Total Expenditure per capita,6673916.516,Rials per month
Iran,96,Total,7,Total Expenditure per capita,9412896.748,Rials per month
