Year,Decile,value,Variable
95,10,0.334618275,Medical and surgical supplies
96,1,0.05918465,Medical and surgical supplies
96,2,0.074474117,Medical and surgical supplies
96,3,0.061768614,Medical and surgical supplies
96,4,0.084247459,Medical and surgical supplies
96,5,0.099998206,Medical and surgical supplies
96,6,0.087241257,Medical and surgical supplies
96,7,0.121466251,Medical and surgical supplies
96,8,0.19303686,Medical and surgical supplies
96,9,0.325604507,Medical and surgical supplies
96,10,0.519874291,Medical and surgical supplies
87,1,1.024320316,Outpatient services
87,2,1.395205921,Outpatient services
87,3,1.22736561,Outpatient services
87,4,1.263633337,Outpatient services
87,5,1.417520646,Outpatient services
87,6,1.545074574,Outpatient services
87,7,1.390156285,Outpatient services
87,8,1.123366499,Outpatient services
87,9,1.427235959,Outpatient services
87,10,1.488738716,Outpatient services
88,1,1.041886095,Outpatient services
88,2,1.254135293,Outpatient services
88,3,1.087875192,Outpatient services
88,4,1.445966285,Outpatient services
88,5,1.710694238,Outpatient services
88,6,1.717725042,Outpatient services
88,7,1.562252641,Outpatient services
88,8,1.495147127,Outpatient services
88,9,1.570342913,Outpatient services
88,10,1.929113488,Outpatient services
89,1,1.103152356,Outpatient services
89,2,1.182252688,Outpatient services
89,3,1.429823918,Outpatient services
89,4,1.542700173,Outpatient services
89,5,3.538308357,Outpatient services
89,6,1.528796614,Outpatient services
89,7,1.898367227,Outpatient services
89,8,1.93823053,Outpatient services
89,9,2.073152076,Outpatient services
89,10,2.065846261,Outpatient services
90,1,0.915859031,Outpatient services
90,2,1.006509215,Outpatient services
90,3,2.285195009,Outpatient services
90,4,1.304303321,Outpatient services
90,5,1.290619424,Outpatient services
90,6,1.473696312,Outpatient services
90,7,1.296867981,Outpatient services
90,8,1.628995446,Outpatient services
90,9,1.890890641,Outpatient services
90,10,1.95913585,Outpatient services
91,1,1.009123447,Outpatient services
91,2,1.228709188,Outpatient services
91,3,1.314382163,Outpatient services
91,4,1.129732663,Outpatient services
91,5,1.511830079,Outpatient services
91,6,1.55574771,Outpatient services
91,7,1.565699412,Outpatient services
91,8,1.42282552,Outpatient services
91,9,1.695020467,Outpatient services
91,10,1.837689701,Outpatient services
92,1,1.563930428,Outpatient services
92,2,1.176288178,Outpatient services
92,3,1.332571901,Outpatient services
92,4,1.545756278,Outpatient services
92,5,1.39971821,Outpatient services
92,6,1.332372307,Outpatient services
92,7,1.629992004,Outpatient services
92,8,1.705682267,Outpatient services
92,9,2.02837463,Outpatient services
92,10,2.093131096,Outpatient services
93,1,1.455500667,Outpatient services
93,2,1.533058221,Outpatient services
93,3,5.618692049,Outpatient services
93,4,0.40504411,Outpatient services
93,5,1.50025802,Outpatient services
93,6,0.817568587,Outpatient services
