"","ProvinceName","Total_Exp_per","Total_Exp_per_Real","Net_Inc_per_Real","Cum_Total_Exp_per_Real","Cum_Net_Inc_per_Real","Year"
"531","East Azarbaijan",1546357.72746076,30904840.3067672,21980866.0103119,24750172264514.8,17603398525224.3,"1385"
"532","West Azarbaijan",1597100.50943282,32401778.411714,26058474.8045247,17912156730893.3,14405489690588.5,"1385"
"533","Kermanshah",1359808.14104444,27258789.2014272,20427118.7577037,10778152509033.5,8076903183914.8,"1385"
"534","Khuzestan",1361509.2185234,27223491.0554444,24756209.2582951,20124685749686.4,18300773058899.4,"1385"
"535","Fars",1574012.85558637,32086478.6703192,25033918.4065642,27978125941371.5,21828575493787.7,"1385"
"536","Kerman",1306696.21260757,26970200.0996855,19937703.7221081,12683479314695.3,9376254229008.43,"1385"
"537","Razavi Khorasan",1406486.69491335,28061765.8899453,18914572.9582998,34647716838862.7,23353725156049.3,"1385"
"538","South Khorasan",1074106.37224248,22563349.1443876,15670856.5893537,3351475387330.95,2327690354012.71,"1385"
"539","Esfahan",2032183.47877853,39826487.1180428,23058347.7606831,42266430300338.2,24471002064009.5,"1385"
"540","Sistan and Baluchistan",867487.564062356,18120547.2010894,14883615.4110251,7113714890707.99,5842969056178.12,"1385"
"541","Kurdistan",1174034.09416528,24083670.3678906,23233729.2114834,7027109256272.75,6779114275597.41,"1385"
"542","Hamadan",1198269.71694996,24752886.8724964,23388586.5312847,9516272111018.1,8991765480538.94,"1385"
"543","Chahar Mahaal and Bakhtiari",1388114.43941208,28764792.103813,20090383.0212736,4878077615488.89,3407027846715.5,"1385"
"544","Lorestan",1392468.00860521,28373497.1100641,20948198.5414858,9428342848691.64,6960960686144.48,"1385"
"545","Ilam",1598728.42999769,32740233.2913262,21287667.6769791,3037704325235.83,1975112382405.48,"1385"
"546","Kohkiluyeh and Buyer Ahmad",1193385.6419945,24999134.5813074,21900993.1788557,2735230311944.59,2396253366678.14,"1385"
"547","Bushehr",1562417.36793488,31981382.5306722,27633945.840985,4936134505314.06,4265133736880.99,"1385"
"548","Zanjan",1344717.76878197,27442271.0813825,22040207.5881593,5680797094285.91,4562521332617.26,"1385"
"549","Semnan",1431725.40762734,28400366.0704991,21383006.098433,3817520406464.35,2874260913739.17,"1385"
"550","Yazd",1447228.58839939,28644196.0315007,24346679.0761401,5775893646491.38,4909330631391.94,"1385"
"551","Hormozgan",1764315.61783403,36719763.5203778,26242269.1609365,9410504275238.9,6725342498295.63,"1385"
"552","Tehran",2736873.94013843,52214654.1929457,31720646.2640295,139636684153224,84829937724740.3,"1385"
"553","Alborz",2026262.0562977,39239978.3117231,25913268.11438,17547862928415.1,11588244857988.6,"1385"
"554","Ardabil",1589127.83067879,33034467.8105545,25025818.0864046,8242397028943.64,6244166844920.73,"1385"
"555","Qom",1372700.86343009,26229379.15345,20321060.8318789,5891066099106.57,4564069620718.34,"1385"
"556","Qazvin",1904059.91473827,38932844.1932378,25942479.8931491,9725891673601.12,6480742787067.36,"1385"
"557","Golestan",1175830.0720701,24500038.1499135,21257267.8933145,7853732229336.26,6814229795880.88,"1385"
"558","North Khorasan",970649.035746504,20393013.1961302,17339879.7337955,3543999798289.5,3013410999537.66,"1385"
"559","Markazi",1231013.00894898,28291560.2429977,21430930.5106509,9024017512907.76,6835716750329.78,"1384"
"560","Gilan",1335495.86711415,31701339.9085795,20020522.1635176,18865720990314.9,11914372903686.6,"1384"
"561","Mazandaran",1777762.77221324,42310185.2204527,33716606.5227431,28403885093120.4,22634800873880.5,"1384"
"562","East Azarbaijan",1319322.22148826,29968729.8348363,19125626.9629726,24000487256958.4,15316777478923.6,"1384"
"563","West Azarbaijan",1366419.63101177,31515426.8468441,24344571.1640373,17422169176911.3,13458019763476.1,"1384"
"564","Kermanshah",1030157.19471974,23460578.5427327,18774331.1123002,9276336216375.07,7423389296134.62,"1384"
"565","Khuzestan",1164259.18049618,26342286.4501064,23312677.9168502,19544316981932.6,17296538315594.1,"1384"
"566","Fars",1533123.50311152,35243707.0604982,24683517.6389802,30731102808472,21523040040485.2,"1384"
"567","Kerman",1213474.05413594,28337123.917363,21540235.9893483,13536672432448.2,10289792272347.7,"1384"
"568","Razavi Khorasan",1289691.57844957,29090318.1837152,18376736.2642483,35906381681911.7,22682533144010.5,"1384"
"569","South Khorasan",998114.238192293,23702352.0334753,14324690.8864681,3625155234009.61,2190889244633.14,"1384"
"570","Esfahan",1652649.56335924,37031525.6683851,20747053.4194118,39446980993156.9,22100321472799.8,"1384"
"571","Sistan and Baluchistan",805779.670384173,19227054.9960098,15761864.5291943,7613894551364.89,6241682591696.43,"1384"
"572","Kurdistan",1162346.44158142,27124664.8113359,22978090.0517272,7914407573986.78,6704524137202.92,"1384"
"573","Hamadan",1091857.42574266,25512216.778076,21790269.7179239,9808197252548.11,8377290983325.55,"1384"
"574","Chahar Mahaal and Bakhtiari",1038728.33383105,24576624.7131427,18542546.0325084,4192329796817.31,3163024587317.35,"1384"
"575","Lorestan",1204111.82790685,27976221.9846564,18520697.42346,9296330708169.42,6154316629631.22,"1384"
"576","Ilam",1413063.27983993,32779525.3655491,21043704.0331543,3041349922466.37,1952476947604.12,"1384"
"577","Kohkiluyeh and Buyer Ahmad",1073071.00196434,25465557.8584424,19456289.4766092,2786263081965.76,2128771000504.24,"1384"
"578","Bushehr",1448698.20017159,33631850.6148841,22780886.2336566,5190874351303.67,3516093104847.5,"1384"
"579","Zanjan",1097203.53954922,25271159.1132702,18735344.4698771,5208305604666.56,3861294971491.01,"1384"
"580","Semnan",1206422.88245793,27187920.6109731,21042242.048313,3654545912685.78,2828456091650.13,"1384"
"581","Yazd",1205279.0740787,27086271.6678546,20308778.7815588,5448541685974.45,4085214426682.34,"1384"
"582","Hormozgan",1445104.10639175,33827545.5180076,25020407.7951076,8669289537809.48,6412205089322.38,"1384"
"583","Tehran",2305295.30503777,49980751.9041559,28495561.1387066,133689287861360,76220367455631.9,"1384"
"584","Alborz",2003129.63257822,43922020.8583709,27536241.9807697,19618189662612.9,12299325195356.7,"1384"
"585","Ardabil",1521515.71444952,35734467.3684353,25675354.8585539,8916071218630.93,6406232115402.93,"1384"
"586","Qom",1151725.12810403,24986235.0095502,20806224.6881614,5611858410674.96,4673036452511.67,"1384"
